,"Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26",Mar-26,Apr-26,
CAMPAÑAS,12,12,15,14,13,11,13,11,10,11,10,12,10,
LEADS,256,230,387,288,260,245,280,211,283,350,338,308,422,
PRESUPUESTO," $29,737.00 "," $41,463.00 "," $58,316.00 "," $41,073.00 "," $43,532.00 "," $64,541.00 "," $50,506.00 "," $69,000.00 "," $98,900.00 "," $118,000.00 "," 93,734.39 "," $82,979.38 ",110381.53,
COSTO POR LEAD, $116.16 , $180.27 , $150.69 , $142.61 , $167.43 , $263.43 , $180.38 , $327.01 , $349.47 , $337.14 , $304.33 , $269.41 , $261.56 , $234.61 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MES,ENERO,FEBRERO,MARZO,ABRIL,MAYO,,,,,,,,,
LEADS FACEBOOK,417,346,359,456,386,,,,,,,,,
LEADS ASESORES,74,30,51,71,134,,,,,,,,,
EFECTIVOS,138,109,183,188,105,,,,,,,,,
EFECTIVIDAD,33%,32%,51%,41%,27%,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TECNOM,ENERO,FEBRERO,MARZO,ABRIL,MAYO,,,,,,,,,
TOTAL,355,197,220,417,588,,,,,,,,,
FRÍO,202,49,160,90,21,,,,,,,,,
TIBIO,39,42,28,61,46,,,,,,,,,
CALIENTE,16,18,4,15,19,,,,,,,,,
SIN RESPUESTA,98,88,0,146,488,,,,,,,,,
