Leads por Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meta ,1280,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canal,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre ,Diciembre ,Enero,Febrero,Marzo,Abril,Mayo ,Junio ,Obj Jun,Obj Historicos,Proyección,%,Aporte promedio,%,Ajuste ,,,
Piso ,0,329,19,76,87,55,92,77,57,43,50,64,71,64,80,40,65,59,63,71,58,72,81,76,105,94,105,79,113,85,95,117,76,100%,69,6%,9.1%,,,
Plazas ,0,0,0,25,28,68,294,248,52,59,154,280,172,184,275,273,271,355,492,397,312,324,274,325,290,433,401,351,352,403,350,462,280,100%,273,22%,36.1%,,,
Eventos ,0,7,0,5,0,71,4,5,1,0,0,5,3,0,26,17,80,0,5,39,1,14,46,42,89,4,89,1,0,1,55,32,44,9%,19,2%,2.5%,,,
Planta ,0,6,52,127,60,376,237,135,1030,1214,1098,772,654,122,394,495,158,275,305,202,364,401,204,452,484,297,673,391,233,449,200,0,160,100%,465,38%,0.0%,,,
Digitales,0,6,5,18,69,87,113,57,107,139,45,74,106,81,76,227,205,301,394,625,312,287,350,405,438,338,307,443,427,299,500,395,400,85%,234,19%,30.9%,,,
Otros ,0,195,102,165,178,310,214,887,68,518,215,87,36,110,74,31,36,93,99,85,53,94,106,234,93,107,103,128,114,78,80,274,64,100%,162,13%,21.4%,,,
Total ,0,543,178,416,422,967,954,1409,1315,1973,1562,1282,1042,561,925,1083,815,1083,1358,1419,1100,1192,1061,1534,1499,1273,1678,1393,1239,1315,1280,1280,1024,100%,1222,100%,100%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leads GAC,0,342,24,124,184,281,503,387,217,241,249,423,352,329,457,557,621,715,954,1132,683,697,751,848,922,869,902,874,892,788,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
