Mes,Leads total,Ventas X Mes,Provisión,Reembolso,Reembolso marca,Bono a Marketing,Aportacion Agencia,Rembolso total,CAP GENERAL,CAP GAC,CAC GENERAL,CAC GAC,% DE RECUPERACIÓN DE MARCA
"Enero, 25",1042,26,346790.94,245306.88,211471.45,,135319.49,211471.45,333,130,13338,5205,61.0
"Febrero, 25",561,20,423573.75,275727.55,228900.0,50000.0,144673.75,278900.0,755,258,21179,7234,66.0
"Marzo, 25",925,30,242750.78,156192.21,134648.46,50000.0,58102.32,184648.46,262,63,8092,1937,76.0
"Abril, 25",1083,30,517105.0,203631.27,245000.0,50000.0,222105.0,295000.0,477,205,17237,7404,57.0
"Mayo, 25",815,34,570803.67,417182.01,359639.66,50000.0,161164.01,409639.66,700,198,16788,4740,72.0
"Junio, 25",1083,40,788379.0,819986.0,819986.0,50000.0,-31607.0,869986.0,728,-29,19709,-790,110.0
"Julio, 25",1358,36,735500.0,,604550.0,,130950.0,604550.0,542,96,20431,3638,82.0
"Agosto, 25",1419,27,793172.45,,826149.48,,-32977.03,826149.48,559,-23,29377,-1221,104.0
"Septiembre, 25",1100,38,991000.0,,940031.0,50000.0,969.0,990031.0,901,1,26079,26,100.0
"Octubre, 25",1192,40,1140000.0,,1033000.0,50000.0,57000.0,1083000.0,956,48,28500,1425,95.0
"Noviembre, 25",1061,41,820304.0,,746821.0,50000.0,23483.0,796821.0,773,22,20007,573,97.0
"Diciembre, 25",1534,34,1228270.0,,1100000.0,,128270.0,1100000.0,801,84,36126,3773,90.0
"Enero, 26",1516,38,1323767.0,,1147742.0,50000.0,126025.0,1197742.0,873,83,34836,3316,90.0
"Febrero, 26",1235,30,586466.0,,539269.0,50000.0,-2803.0,589269.0,475,-2,19549,-93,100.0
"Marzo, 26",1785,41,934131.0,,626000.0,50000.0,258131.0,676000.0,523,145,22784,6296,72.0
"Abril, 26",1393,41,859317.0,,791064.0,50000.0,18253.0,841064.0,617,13,20959,445,98.0
"Mayo, 26",1251,35,853876.25,,739082.0,50000.0,64794.25,789082.0,683,52,24396,1851,92.0
"Junio, 26",1315,37,761245.0,,,,761245.0,,579,579,20574,20574,0.0
