Mes,Inicio,Fin,Dias,Modelo,Color,Numero de Leads,Leads por Dia,Ranking
Abril,2025-04-04,2025-04-09,6.0,GS8 HEV,NEGRO,55.0,9.0,15.0
Abril,2025-04-10,2025-04-13,4.0,GS8,BLANCO,10.0,3.0,26.0
Abril,2025-04-14,2025-04-24,11.0,EMZOOM,AZUL LAGUNA,147.0,13.0,5.0
Abril,2025-04-25,2025-05-07,13.0,GS4,GRIS,93.0,7.0,19.0
Mayo,2025-05-08,2025-05-19,12.0,EMZOOM R,AZUL LAGUNA,78.0,7.0,22.0
Mayo,2025-05-20,2025-05-23,4.0,AION,PLATA,24.0,6.0,23.0
Mayo,2025-05-24,2025-05-30,7.0,GS4,BLANCO,74.0,11.0,11.0
Mayo,2025-05-31,2025-06-12,13.0,GS8 HEV,BLANCO,136.0,10.0,12.0
Junio ,2025-06-13,2025-06-18,6.0,GS8 ICE,GRIS TITANIO,85.0,14.0,3.0
Junio ,2025-06-19,2025-06-27,9.0,GS8 HEV GX AWD,BLANCO,151.0,17.0,1.0
Junio ,2025-06-28,2025-06-29,2.0,GS8 GL FWD,PLATA IRIDIO,27.0,14.0,4.0
Junio ,2025-06-30,2025-07-03,4.0,GS4,BLANCO,48.0,12.0,8.0
Julio,2025-07-04,2025-07-07,4.0,EMKOO HEV,NEGRO,59.0,15.0,2.0
Julio,2025-07-08,2025-07-27,20.0,GS8,GRIS TITANIO,213.0,11.0,10.0
Julio,2025-07-28,2025-07-30,3.0,EMZOOM R,GRIS GRAFENO MATE,37.0,12.0,7.0
Julio,2025-07-31,2025-08-14,15.0,EMZOOM R,BLANCO,116.0,8.0,17.0
Agosto,2025-08-15,2025-08-27,13.0,EMKOO HEV,NEGRO,132.0,10.0,14.0
Agosto,2025-08-28,2025-09-01,5.0,GN8,BLANCO,0.0,0.0,27.0
Septiembre,2025-09-02,2025-09-17,16.0,EMZOOM R,BLANCO,142.0,9.0,23.0
Septiembre,2025-09-18,2025-09-24,7.0,EMZOOM R,GRIS MAGNETICO,50.0,7.0,29.0
Septiembre,2025-09-25,2025-10-03,9.0,EMKOO HEV,NEGRO,63.0,7.0,31.0
Octubre,2025-10-04,2025-10-06,3.0,GS8 HEV GX AWD,BLANCO,31.0,10.0,16.0
Octubre,2025-10-07,2025-10-12,6.0,HYPTEC,BLANCO,76.0,13.0,8.0
Octubre,2025-10-13,2025-10-27,15.0,EMZOOM R,GRIS GRAFENO MATE,114.0,8.0,27.0
Octubre,2025-10-28,2025-11-06,10.0,EMZOOM R,BLANCO,59.0,6.0,39.0
Noviembre,2025-11-07,2025-11-11,5.0,EMKOO GL,BLANCA,23.0,5.0,47.0
Noviembre,2025-11-12,2025-11-19,8.0,EMKOO GL,NEGRO,93.0,12.0,11.0
Noviembre,2025-11-20,2025-11-25,6.0,EMZOOM R,AZUL LAGUNA,22.0,4.0,48.0
Noviembre,2025-11-26,2025-12-04,9.0,GS4 HEV,BLANCO,42.0,5.0,45.0
Diciembre ,2025-12-05,2025-12-11,7.0,EMZOOM,NEGRO,71.0,10.0,19.0
Diciembre ,2025-12-12,2025-12-16,5.0,GS4 HEV,BLANCO,32.0,6.0,35.0
Diciembre ,2025-12-17,2026-01-04,19.0,EMZOOM,ROJO,135.0,7.0,30.0
Enero,2026-01-05,2026-01-05,1.0,EMKOO GE,PLATA POLAR,10.0,10.0,20.0
Enero,2026-01-06,2026-01-11,6.0,EMKOO GL,GRIS MAGNETICO,28.0,5.0,45.0
Enero,2026-01-12,2026-01-12,1.0,AION Y,GRIS PERLADO,2.0,2.0,51.0
Enero,2026-01-13,2026-01-18,6.0,GN8,BLANCA,35.0,6.0,40.0
Enero,2026-01-19,2026-01-20,2.0,HYPTECH HT ULTRA,BLANCO,32.0,16.0,2.0
Enero,2026-01-21,2026-01-23,3.0,EMZOOM GB,AMARILLO VERDOSO,19.0,6.0,36.0
Febrero,2026-01-24,2026-02-04,12.0,GS4 HEV GL,BLANCO METALICO,99.0,8.0,24.0
Febrero,2026-02-05,2026-02-12,8.0,EMKOO,BLANCO,56.0,7.0,31.0
Febrero,2026-02-13,2026-02-20,8.0,GS8,BLANCA,48.0,6.0,37.0
Febrero,2026-02-21,2026-02-25,5.0,GS8,NEGRO,15.0,3.0,49.0
