Periodo,Campanas,Leads,Presupuesto,Costo_por_Lead
"Abril, 25",12.0,256.0,29737.0,116.16
"Mayo, 25",12.0,230.0,41463.0,180.27
"Junio, 25",15.0,387.0,58316.0,150.69
"Julio, 25",14.0,288.0,41073.0,142.61
"Agosto, 25",13.0,260.0,43532.0,167.43
"Septiembre, 25",11.0,245.0,64541.0,263.43
"Octubre, 25",13.0,280.0,50506.0,180.38
"Noviembre, 25",11.0,211.0,69000.0,327.01
"Diciembre, 25",10.0,283.0,98900.0,349.47
"Enero, 26",11.0,350.0,118000.0,337.14
"Febrero, 26",10.0,338.0,93734.39,304.33
Mar-26,12.0,308.0,82979.38,269.41
Apr-26,10.0,422.0,110381.53,261.56
