Canal,Periodo,Leads
Piso,2024-01,0
Plazas,2024-01,0
Eventos,2024-01,0
Planta,2024-01,0
Digitales,2024-01,0
Otros,2024-01,0
Piso,2024-02,329
Plazas,2024-02,0
Eventos,2024-02,7
Planta,2024-02,6
Digitales,2024-02,6
Otros,2024-02,195
Piso,2024-03,19
Plazas,2024-03,0
Eventos,2024-03,0
Planta,2024-03,52
Digitales,2024-03,5
Otros,2024-03,102
Piso,2024-04,76
Plazas,2024-04,25
Eventos,2024-04,5
Planta,2024-04,127
Digitales,2024-04,18
Otros,2024-04,165
Piso,2024-05,87
Plazas,2024-05,28
Eventos,2024-05,0
Planta,2024-05,60
Digitales,2024-05,69
Otros,2024-05,178
Piso,2024-06,55
Plazas,2024-06,68
Eventos,2024-06,71
Planta,2024-06,376
Digitales,2024-06,87
Otros,2024-06,310
Piso,2024-07,92
Plazas,2024-07,294
Eventos,2024-07,4
Planta,2024-07,237
Digitales,2024-07,113
Otros,2024-07,214
Piso,2024-08,77
Plazas,2024-08,248
Eventos,2024-08,5
Planta,2024-08,135
Digitales,2024-08,57
Otros,2024-08,887
Piso,2024-09,57
Plazas,2024-09,52
Eventos,2024-09,1
Planta,2024-09,1030
Digitales,2024-09,107
Otros,2024-09,68
Piso,2024-10,43
Plazas,2024-10,59
Eventos,2024-10,0
Planta,2024-10,1214
Digitales,2024-10,139
Otros,2024-10,518
Piso,2024-11,50
Plazas,2024-11,154
Eventos,2024-11,0
Planta,2024-11,1098
Digitales,2024-11,45
Otros,2024-11,215
Piso,2024-12,64
Plazas,2024-12,280
Eventos,2024-12,5
Planta,2024-12,772
Digitales,2024-12,74
Otros,2024-12,87
Piso,2025-01,71
Plazas,2025-01,172
Eventos,2025-01,3
Planta,2025-01,654
Digitales,2025-01,106
Otros,2025-01,36
Piso,2025-02,64
Plazas,2025-02,184
Eventos,2025-02,0
Planta,2025-02,122
Digitales,2025-02,81
Otros,2025-02,110
Piso,2025-03,80
Plazas,2025-03,275
Eventos,2025-03,26
Planta,2025-03,394
Digitales,2025-03,76
Otros,2025-03,74
Piso,2025-04,40
Plazas,2025-04,273
Eventos,2025-04,17
Planta,2025-04,495
Digitales,2025-04,227
Otros,2025-04,31
Piso,2025-05,65
Plazas,2025-05,271
Eventos,2025-05,80
Planta,2025-05,158
Digitales,2025-05,205
Otros,2025-05,36
Piso,2025-06,59
Plazas,2025-06,355
Eventos,2025-06,0
Planta,2025-06,275
Digitales,2025-06,301
Otros,2025-06,93
Piso,2025-07,63
Plazas,2025-07,492
Eventos,2025-07,5
Planta,2025-07,305
Digitales,2025-07,394
Otros,2025-07,99
Piso,2025-08,71
Plazas,2025-08,397
Eventos,2025-08,39
Planta,2025-08,202
Digitales,2025-08,625
Otros,2025-08,85
Piso,2025-09,58
Plazas,2025-09,312
Eventos,2025-09,1
Planta,2025-09,364
Digitales,2025-09,312
Otros,2025-09,53
Piso,2025-10,72
Plazas,2025-10,324
Eventos,2025-10,14
Planta,2025-10,401
Digitales,2025-10,287
Otros,2025-10,94
Piso,2025-11,81
Plazas,2025-11,274
Eventos,2025-11,46
Planta,2025-11,204
Digitales,2025-11,350
Otros,2025-11,106
Piso,2025-12,76
Plazas,2025-12,325
Eventos,2025-12,42
Planta,2025-12,452
Digitales,2025-12,405
Otros,2025-12,234
Piso,2026-01,105
Plazas,2026-01,290
Eventos,2026-01,89
Planta,2026-01,484
Digitales,2026-01,438
Otros,2026-01,93
Piso,2026-02,94
Plazas,2026-02,433
Eventos,2026-02,4
Planta,2026-02,297
Digitales,2026-02,338
Otros,2026-02,107
Piso,2026-03,105
Plazas,2026-03,401
Eventos,2026-03,89
Planta,2026-03,673
Digitales,2026-03,307
Otros,2026-03,103
Piso,2026-04,79
Plazas,2026-04,351
Eventos,2026-04,1
Planta,2026-04,391
Digitales,2026-04,443
Otros,2026-04,128
Piso,2026-05,113
Plazas,2026-05,352
Eventos,2026-05,0
Planta,2026-05,233
Digitales,2026-05,427
Otros,2026-05,114
Piso,2026-06,85
Plazas,2026-06,403
Eventos,2026-06,1
Planta,2026-06,449
Digitales,2026-06,299
Otros,2026-06,78
