Periodo,Generadas,Aprobadas,Condicionadas,Rechazadas,Formalizadas,Pct_Aprobacion,Pct_Formalizacion
Jan-24,5,1,0,4,1,20,100
Feb-24,6,2,0,4,1,33,50
Mar-24,11,7,1,4,5,64,71
Apr-24,23,14,0,9,11,61,79
May-24,26,8,4,14,3,31,38
Jun-24,43,13,0,22,6,30,46
Jul-24,55,30,3,17,17,55,57
Aug-24,36,19,0,13,9,53,47
Sep-24,56,26,1,13,7,46,27
Oct-24,79,31,32,12,14,39,45
Nov-24,76,25,26,25,14,33,56
Dec-24,103,39,33,26,17,38,44
Jan-25,83,30,25,26,19,36,63
Feb-25,76,27,18,21,12,36,44
Mar-25,92,31,27,30,20,34,65
Apr-25,59,35,6,16,17,59,49
May-25,76,40,7,25,19,53,48
Jun-25,97,46,25,22,25,47,54
Jul-25,104,41,22,33,21,39,51
Aug-25,99,27,22,44,13,27,48
Sep-25,127,43,32,49,25,34,58
Oct-25,136,51,22,62,25,38,49
Nov-25,118,49,32,36,24,42,49
Dec-25,111,31,49,28,14,28,45
Jan-26,113,37,34,36,21,33,57
Feb-26,83,37,21,25,17,45,46
Mar-26,85,41,14,30,18,48,44
Apr-26,74,42,16,16,16,57,38
May-26,95,44,17,30,19,46,43
Jun-26,82,35,10,33,13,43,37
Jul-26,32,12,9,9,4,38,33
